id,limitlessCode,name,logo,cardCount
xy0,KSS,Kalos Starter Set,https://assets.tcgdex.net/en/xy/xy0/logo,39
ex12,LM,Legend Maker,https://assets.tcgdex.net/en/ex/ex12/logo,92
lc,LC,Legendary Collection,https://assets.tcgdex.net/en/lc/lc/logo,110
bw11,LTR,Legendary Treasures,https://assets.tcgdex.net/en/bw/bw11/logo,113
dp6,LA,Legends Awakened,https://assets.tcgdex.net/en/dp/dp6/logo,146
swsh11,LOR,Lost Origin,https://assets.tcgdex.net/en/swsh/swsh11/logo,196
sm8,LOT,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/logo,214
2011bw,,Macdonald's Collection 2011,,12
2012bw,,Macdonald's Collection 2012,,12
2014xy,,Macdonald's Collection 2014,,12
2015xy,,Macdonald's Collection 2015,,12
2016xy,,Macdonald's Collection 2016,,12
2017sm,,Macdonald's Collection 2017,,12
2018sm,,Macdonald's Collection 2018,,12
2019sm,,Macdonald's Collection 2019,,12
2021swsh,,Macdonald's Collection 2021,,25
dp5,,Majestic Dawn,https://assets.tcgdex.net/en/dp/dp5/logo,100
me01,MEG,Mega Evolution,https://assets.tcgdex.net/en/me/me01/logo,132
B1,,Mega Rising,https://assets.tcgdex.net/en/tcgp/B1/logo,226
mep,MEP,MEP Black Star Promos,,0
dp2,MT,Mysterious Treasures,https://assets.tcgdex.net/en/dp/dp2/logo,122
A1a,,Mythical Island,https://assets.tcgdex.net/en/tcgp/A1a/logo,68
neo4,N4,Neo Destiny,https://assets.tcgdex.net/en/neo/neo4/logo,105
neo2,N2,Neo Discovery,https://assets.tcgdex.net/en/neo/neo2/logo,75
neo1,N1,Neo Genesis,https://assets.tcgdex.net/en/neo/neo1/logo,111
neo3,N3,Neo Revelation,https://assets.tcgdex.net/en/neo/neo3/logo,64
bw4,NXD,Next Destinies,https://assets.tcgdex.net/en/bw/bw4/logo,99
np,NP,Nintendo Black Star Promos,https://assets.tcgdex.net/en/pop/np/logo,40
bw3,NVI,Noble Victories,https://assets.tcgdex.net/en/bw/bw3/logo,101
sv03,OBF,Obsidian Flames,https://assets.tcgdex.net/en/sv/sv03/logo,197
sv02,PAL,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/logo,193
sv04.5,PAF,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/logo,91
sv04,PAR,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/logo,182
me02,PFL,Phantasmal Flames,https://assets.tcgdex.net/en/me/me02/logo,94
xy4,PHF,Phantom Forces,https://assets.tcgdex.net/en/xy/xy4/logo,119
bw10,PLB,Plasma Blast,https://assets.tcgdex.net/en/bw/bw10/logo,101
bw9,PLF,Plasma Freeze,https://assets.tcgdex.net/en/bw/bw9/logo,116
bw8,PLS,Plasma Storm,https://assets.tcgdex.net/en/bw/bw8/logo,135
pl1,PL,Platinum,https://assets.tcgdex.net/en/pl/pl1/logo,127
ex5.5,,Poké Card Creator Pack,,5
sv03.5,MEW,Pokémon 151,https://assets.tcgdex.net/en/sv/sv03.5/logo,165
fut2020,,Pokémon Futsal 2020,https://assets.tcgdex.net/en/swsh/fut2020/logo,5
swsh10.5,PGO,Pokémon GO,https://assets.tcgdex.net/en/swsh/swsh10.5/logo,78
ru1,RM,Pokémon Rumble,https://assets.tcgdex.net/en/pl/ru1/logo,16
pop1,P1,POP Series 1,https://assets.tcgdex.net/en/pop/pop1/logo,17
pop2,P2,POP Series 2,https://assets.tcgdex.net/en/pop/pop2/logo,17
pop3,P3,POP Series 3,https://assets.tcgdex.net/en/pop/pop3/logo,17
pop4,P4,POP Series 4,https://assets.tcgdex.net/en/pop/pop4/logo,17
pop5,P5,POP Series 5,https://assets.tcgdex.net/en/pop/pop5/logo,17
pop6,P6,POP Series 6,https://assets.tcgdex.net/en/pop/pop6/logo,17
pop7,P7,POP Series 7,https://assets.tcgdex.net/en/pop/pop7/logo,17
pop8,P8,POP Series 8,https://assets.tcgdex.net/en/pop/pop8/logo,17
pop9,P9,POP Series 9,https://assets.tcgdex.net/en/pop/pop9/logo,17
ex16,PK,Power Keepers,https://assets.tcgdex.net/en/ex/ex16/logo,108
xy5,PRC,Primal Clash,https://assets.tcgdex.net/en/xy/xy5/logo,160
sv08.5,PRE,Prismatic Evolutions,https://assets.tcgdex.net/en/sv/sv08.5/logo,131
P-A,,Promos-A,https://assets.tcgdex.net/en/tcgp/P-A/logo,0
rc,,Radiant Collection,,25
swsh2,RCL,Rebel Clash,https://assets.tcgdex.net/en/swsh/swsh2/logo,192
pl2,RR,Rising Rivals,https://assets.tcgdex.net/en/pl/pl2/logo,111
xy6,ROS,Roaring Skies,https://assets.tcgdex.net/en/xy/xy6/logo,108
ex1,RS,Ruby & Sapphire,https://assets.tcgdex.net/en/ex/ex1/logo,109
sp,,Sample,,10
ex2,SS,Sandstorm,https://assets.tcgdex.net/en/ex/ex2/logo,100
sv01,SVI,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/logo,198
A4a,,Secluded Springs,https://assets.tcgdex.net/en/tcgp/A4a/logo,71
dp3,SW,Secret Wonders,https://assets.tcgdex.net/en/dp/dp3/logo,132
swsh4.5,SHF,Shining Fates,https://assets.tcgdex.net/en/swsh/swsh4.5/logo,72
sm3.5,SLG,Shining Legends,,73
A2b,,Shining Revelry,https://assets.tcgdex.net/en/tcgp/A2b/logo,72
sv06.5,SFA,Shrouded Fable,https://assets.tcgdex.net/en/sv/sv06.5/logo,64
swsh12,SIT,Silver Tempest,https://assets.tcgdex.net/en/swsh/swsh12/logo,195
ecard3,E3,Skyridge,https://assets.tcgdex.net/en/ecard/ecard3/logo,144
smp,,SM Black Star Promos,https://assets.tcgdex.net/en/sm/smp/logo,236
tk-sm-r,,SM trainer Kit (Alolan Raichu),,30
tk-sm-l,,SM trainer Kit (Lycanroc),,30
si1,SI,Southern Islands,https://assets.tcgdex.net/en/neo/si1/logo,18
A2,,Space-Time Smackdown,https://assets.tcgdex.net/en/tcgp/A2/logo,140
xy11,STS,Steam Siege,https://assets.tcgdex.net/en/xy/xy11/logo,114
sv07,SCR,Stellar Crown,https://assets.tcgdex.net/en/sv/sv07/logo,142
dp7,SF,Stormfront,https://assets.tcgdex.net/en/dp/dp7/logo,100
sm1,SUM,Sun & Moon,https://assets.tcgdex.net/en/sm/sm1/logo,149
pl3,SV,Supreme Victors,https://assets.tcgdex.net/en/pl/pl3/logo,147
sv08,SSP,Surging Sparks,https://assets.tcgdex.net/en/sv/sv08/logo,191
svp,SVP,SVP Black Star Promos,,0
swsh1,SSH,Sword & Shield,https://assets.tcgdex.net/en/swsh/swsh1/logo,202
swshp,SP,SWSH Black Star Promos,https://assets.tcgdex.net/en/swsh/swshp/logo,107
ex4,MA,Team Magma vs Team Aqua,https://assets.tcgdex.net/en/ex/ex4/logo,95
base5,TR,Team Rocket,https://assets.tcgdex.net/en/base/base5/logo,82
ex7,TRR,Team Rocket Returns,https://assets.tcgdex.net/en/ex/ex7/logo,109
sm9,TEU,Team Up,https://assets.tcgdex.net/en/sm/sm9/logo,181
sv05,TEF,Temporal Forces,,162
